scheme,category,target,status,allocation_cr,key_metric,announced,source_url,highlights,companies_affected,confidence,source,note
National Green Hydrogen Mission,Manufacturing,,Active,19744,"5 MMT/yr green H2 by 2030; Rs 19,744 cr outlay",Jan 2023,https://mnre.gov.in/en/national-green-hydrogen-mission/,"A national push to make India a hub for green hydrogen — a fuel made by splitting water using renewable electricity — with incentives both for producing it and for building the electrolyser machines that make it.","Backs the green-hydrogen and electrolyser ambitions of Reliance, Adani, NTPC, ACME, JSW; creates fresh demand for captive solar and wind to power electrolysers.",high,MNRE,
CPSU Scheme Phase-II (Government Producer),Manufacturing,,Active,,"12,000 MW target; VGF; ~8.2 GW sanctioned",Mar 2019,https://mnre.gov.in/en/central-public-sector-undertaking-cpsu-scheme-phase-ii-government-producer-scheme-for-setting-up-12000-mw-grid-connected-solar-photovoltaic-pv-power-projects-by-the-government-producers-with-vi/,"Government-owned power companies get a subsidy (viability gap funding) to build solar plants — but only if they use Indian-made cells and panels. It pairs public demand with 'make in India'.","Directs guaranteed orders to state producers — NTPC, SJVN, NHPC, NLC India — and, through the DCR rule, to the domestic module makers supplying them.",high,MNRE,
BESS VGF Scheme (Battery Storage),Storage,,Active,33000,"30 GWh; Rs 5,400 cr; up to Rs 18 lakh/MWh",Apr 2025,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2118325,"A subsidy that makes big battery-storage projects financially viable, so grids can store daytime solar power for use after dark. Expanded in 2025 to 30 GWh of batteries.","De-risks battery projects for developers — Adani, JSW Energy, Tata Power, NTPC, ACME — and supports the BESS pipeline visible in the tender mix.",high,PIB,
ISTS Charge Waiver for Energy Storage (BESS/PSP),Storage,,Active,,100% waiver for BESS/PSP commissioned by 30 Jun 2028,Jun 2025,https://mnre.gov.in/en/document/waiver-of-inter-state-transmission-charges-for-energy-storage-systems-ess/,"Battery and pumped-hydro storage projects skip the inter-state power-transmission fee if commissioned by June 2028 — an incentive to build the storage that firms up solar and wind.","Improves economics for storage builders — JSW Energy (pumped hydro), Greenko, Adani, Tata Power — racing to hit the 2028 cut-off.",high,MNRE,
Offshore Wind VGF Scheme,Demand,,Active,7453,"1 GW (500 MW each Gujarat & TN); Rs 7,453 cr",Jun 2024,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2026699,"The first-ever subsidy for building wind farms out at sea off Gujarat and Tamil Nadu (1 GW), plus money to upgrade ports. It kick-starts a brand-new segment for India.","Opens a new market for wind developers and turbine makers — Suzlon, Inox Wind, NTPC — plus port and EPC contractors.",high,PIB,
National Wind Repowering & Life Extension Policy 2023,Demand,,Active,,targets sub-2 MW & >15-yr-old turbines,Dec 2023,https://mnre.gov.in/en/notice/policy-for-repowering-of-the-wind-power-projects/,"Lets owners of old, small wind turbines swap them for bigger modern ones (or extend their life) on the same land, with new-project tax perks and cheaper loans — squeezing more power from existing wind sites.","Refresh demand for turbine makers — Suzlon, Inox Wind; benefits legacy wind operators (Orient Green, Inox Green's O&M base) upgrading ageing fleets.",high,MNRE,
RLMM to ALMM (Wind) Amendment,Manufacturing,,Active,,mandatory approved-list major components; India R&D/data,Jul 2025,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2150874,"The wind version of the approved-list rule: wind projects must use approved, domestically-made major turbine parts — blades, towers, gearboxes — from makers that do their R&D in India.","Favours domestic turbine makers with local supply chains — Suzlon, Inox Wind; pressures import-reliant players to localise their components.",high,PIB,
SIGHT Electrolyser Manufacturing Incentive (Tranche-II),Manufacturing,,Active,4440,"Rs 4,440 cr; ~1.5 GW electrolyser capacity",Mar 2024,https://mnre.gov.in/en/notice/scheme-guidelines-for-implementation-of-strategic-interventions-for-green-hydrogen-transtion-sight-programme-component-i-incentive-scheme-for-electrolyser-manufacturing-tranche-ii/,"Part of the hydrogen mission: it pays companies to build factories in India that make electrolysers — the machines that split water into green hydrogen — targeting about 1.5 GW a year of capacity.","Incentivises the electrolyser plans of Reliance, Adani, L&T and other awardees, and grows an equipment supply chain for green-hydrogen producers.",high,MNRE,
Model Solar Village (under PM Surya Ghar),Rooftop,,Active,800,Rs 800 cr; Rs 1 cr CFA per village; 1 village/district,Aug 2024,https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=2044454,"Sets aside money to turn one village per district into a fully solar-powered 'model' community — a Rs 1 cr grant each — showcasing rural rooftop and community solar.","Small but steady rooftop and EPC orders for regional installers and residential-kit makers (Tata Power Solar, Waaree, Luminous).",high,PIB,
FDRE (Firm & Dispatchable Renewable Energy) Tenders,Storage,,Active,,storage-backed firm RE; multiple SECI GWh tenders,Mar 2024,https://seci.co.in/hybrid-ess,"A new auction design where developers must supply round-the-clock, on-demand clean power by bundling solar and wind with batteries — instead of selling power only when the sun shines. Most new tenders are heading this way.","Reshapes bidding for large IPPs — Adani Green, ReNew, NTPC, JSW, ACME — rewarding those with solar-plus-wind-plus-storage portfolios; drives the firm-power share seen in the tender mix.",medium,SECI,
