tranche_id,developer,project,tech,capacity_gw,stated_on,concall,target_period,status,confidence,source,source_url,note
AVAADA-INCLEAN,Avaada Energy,"Avaada Inclean 300 MW solar (Gujarat, DVC PPA)",solar,0.3,2025-08-05,ICRA (initial),Q2FY26,delayed,high,ICRA rating rationale,https://www.icra.in/Rating/ShowRationalReportFilePdf/138802,
AVAADA-INCLEAN,Avaada Energy,"Avaada Inclean 300 MW solar (Gujarat, DVC PPA)",solar,0.3,2025-11-08,ICRA (Nov-2025),Q3FY26,delayed,high,ICRA rating rationale,https://www.icra.in/Rating/ShowRationalReportFilePdf/138802,"SCoD slipped ~3.5 months (14-Sep-25 -> 31-Dec-25) per ICRA; 25-yr DVC PPA at Rs2.70/kWh, 96% promoter equity infused."
AVAADA-PUGAL,Avaada Energy,"Pugal FDRE - 1,560 MWp solar + 2,500 MWh BESS (SJVN)",fdre,1.56,2026-03-31,FY26 disclosures,Q4FY27,on-track,medium,Avaada financing PR,https://www.pv-magazine-india.com/2026/06/01/avaada-group-secures-950-million-debt-financing-from-consortium-of-global-and-domestic-banks/,"India's largest BESS-FDRE; PM Modi foundation stone Sep-2025, US$950m financial closure; commissioning guided across FY27-FY28."
GK-GANDHISAGAR,Greenko,Gandhi Sagar PSP (MP),bess,11,2024-06-05,Project announcement,Q3FY25,delayed,medium,Greenko / press update,https://www.alcircle.com/news/india-plans-over-tenfold-increase-in-pumped-storage-hydropower-capacity-backed-by-greenko-adani-jsw-114269,
GK-GANDHISAGAR,Greenko,Gandhi Sagar PSP (MP),bess,11,2025-11-08,2025 press update,Q3FY27,delayed,medium,Greenko / press update,https://www.alcircle.com/news/india-plans-over-tenfold-increase-in-pumped-storage-hydropower-capacity-backed-by-greenko-adani-jsw-114269,"GWh. 1,440->1,920 MW / ~11 GWh; 2025 press guides commissioning to CY2026 vs an originally announced Dec-2024 COD - ~1.5-2 year slip."
GK-PINNAPURAM,Greenko,Pinnapuram IRESP pumped storage (AP),bess,10.08,2024-06-05,Original EPC schedule,Q3FY25,delayed,medium,Greenko project update,https://powerline.net.in/2025/08/18/addressing-intermittency-greenkos-irep-seeks-to-set-an-example-in-the-energy-storage-space/,
GK-PINNAPURAM,Greenko,Pinnapuram IRESP pumped storage (AP),bess,10.08,2025-11-08,2025 press update,Q2FY26,commissioned,medium,Greenko project update,https://powerline.net.in/2025/08/18/addressing-intermittency-greenkos-irep-seeks-to-set-an-example-in-the-energy-storage-space/,"GWh. 1,680 MW / 10.08 GWh PSP; 5 of 8 units commissioned by Jul-2025, full plant ~Sep-2025 - modest slip from an original Dec-2024 target."
GK-SAUNDATTI,Greenko,Saundatti IRESP PSP (Karnataka),bess,10,2025-11-08,2025 press update,Q3FY28,on-track,medium,Greenko / Mercom,https://www.mercomindia.com/greenko-seeks-epc-contractors-1260-mw-pumped-hydro-storage-project-karnataka,"GWh (approx). 1,260 MW standalone PSP; guided CY2027-28, EM equipment EPC awarded (GE Power, Mar-2025); no prior public COD slipped yet."
JSWNEO-FY26,JSW Neo Energy,FY26 organic RE build,solar,3,2025-08-05,Q1 FY26 concall,Q4FY26,on-track,high,JSW Energy Q4 FY26 deck,https://www.jswenergy.in/wp-content/uploads/2026/05/JSWEL_Results-Presentation_Q4FY26.pdf,
JSWNEO-FY26,JSW Neo Energy,FY26 organic RE build,solar,3,2026-02-10,Q3 FY26 concall,Q4FY27,delayed,high,JSW Energy Q4 FY26 deck,https://www.jswenergy.in/wp-content/uploads/2026/05/JSWEL_Results-Presentation_Q4FY26.pdf,"3-4 GW FY26 organic guide softened to '>15 GW total by Mar-26'; FY26 closed with only ~1.2 GW organic, the ~2 GW miss rolled into FY27 (now guided 3 GW)."
JSWNEO-KREDL-BESS,JSW Neo Energy,KREDL solar + BESS,bess,0.1,2026-03-31,Q4 FY26 deck,Q4FY27,on-track,high,JSW Energy Q4 FY26 deck,https://www.jswenergy.in/wp-content/uploads/2026/05/JSWEL_Results-Presentation_Q4FY26.pdf,"GWh. Hard disclosed SCOD Jan-2027 (Q4FY27); tariff Rs4.31/kWh, BESPA signed."
JSWNEO-MSEDCL,JSW Neo Energy,MSEDCL Hybrid III & IV (1.6 GW),hybrid,1.6,2026-03-31,Q4 FY26 deck,Q4FY28,on-track,modelled,JSW Energy Q4 FY26 deck,https://www.jswenergy.in/wp-content/uploads/2026/05/JSWEL_Results-Presentation_Q4FY26.pdf,"1,200 MW contracted / 1,600 MW installed; decks give no per-project COD, FY28 modelled off the 30 GW-by-2030 path."
JU-GUVNL,Juniper Green Energy,GUVNL Gujarat hybrid + wind (305 MW),hybrid,0.305,2025-08-05,GUVNL PPA SCODs,Q2FY27,on-track,high,Juniper commissioning PR,https://www.pv-magazine-india.com/2026/06/10/juniper-green-commissions-305-mw-of-renewable-energy-capacity-in-gujarat/,
JU-GUVNL,Juniper Green Energy,GUVNL Gujarat hybrid + wind (305 MW),hybrid,0.305,2026-02-10,Commissioning update,Q1FY27,on-track,high,Juniper commissioning PR,https://www.pv-magazine-india.com/2026/06/10/juniper-green-commissions-305-mw-of-renewable-energy-capacity-in-gujarat/,183 MWp solar + ~122 MW wind commissioned 30-148 days AHEAD of SCOD - early delivery.
JU-KITE,Juniper Green Energy,Kite 70 MW wind (GUVNL Wind Phase-V),wind,0.07,2024-06-05,GUVNL PPA (Feb-24),Q2FY26,delayed,medium,GERC SCOD-extension order,https://www.saurenergy.com/solar-energy-news/land-delays-row-issues-win-partial-relief-for-juniper-green-at-gerc-12063280,
JU-KITE,Juniper Green Energy,Kite 70 MW wind (GUVNL Wind Phase-V),wind,0.07,2026-02-10,GERC relief order,Q4FY27,delayed,medium,GERC SCOD-extension order,https://www.saurenergy.com/solar-energy-news/land-delays-row-issues-win-partial-relief-for-juniper-green-at-gerc-12063280,304-day land-allotment delay + RoW/protests; GERC granted partial SCOD relief pushing it from ~Q2FY26 into FY27.
JU-SJVN-FDRE,Juniper Green Energy,SJVN FDRE - India's first (259 MWp solar + BESS),fdre,0.26,2026-03-31,FDRE commissioning PR,Q4FY26,commissioned,high,Juniper commissioning PR,https://www.pv-magazine-india.com/2026/04/20/indias-first-fdre-project-enters-commissioning-phase/,"259 MWp solar entered COD Mar-2026; first developer under SJVN's FDRE tender to begin commissioning, supplies Haryana."
NGEL-FY26,NTPC Green Energy,FY26 utility-scale build,solar,5,2025-08-05,Q1 FY26 concall,Q4FY26,on-track,high,NGEL Q4 FY26 investor call,https://www.saurenergy.com/solar-energy-news/ntpc-completes-12-gw-khavda-ii-solar-project-with-final-105-mw-tranche-11882161,
NGEL-FY26,NTPC Green Energy,FY26 utility-scale build,solar,5,2026-02-10,Q3 FY26 concall,Q1FY27,delayed,high,NGEL Q4 FY26 investor call,https://www.saurenergy.com/solar-energy-news/ntpc-completes-12-gw-khavda-ii-solar-project-with-final-105-mw-tranche-11882161,5 GW FY26 target held from IPO but delivered ~4.2 GW (~15% miss); the ~0.8 GW tail incl. Khavda-II final phases slipped into Q1 FY27.
NGEL-FY27,NTPC Green Energy,FY27 build (guided ~8 GW),solar,8,2026-03-31,FY26 concall,Q4FY27,at-risk,high,NGEL Q4 FY26 concall,https://www.angelone.in/news/stocks/ntpc-aims-for-8-gw-green-energy-boost-in-fy27-reports,8 GW FY27 reaffirmed since IPO but ~1.9x the 4.2 GW just delivered; NGEL missed FY25 and FY26 and is heavily Q4-backloaded.
NGEL-KHAVDA2,NTPC Green Energy,"Khavda-II solar (1.2 GW, 8 phases)",solar,1.2,2026-02-10,Q3 FY26 (5 GW plan),Q4FY26,on-track,medium,NGEL COD disclosure,https://www.saurenergy.com/solar-energy-news/ntpc-completes-12-gw-khavda-ii-solar-project-with-final-105-mw-tranche-11882161,
NGEL-KHAVDA2,NTPC Green Energy,"Khavda-II solar (1.2 GW, 8 phases)",solar,1.2,2026-03-31,FY26 results,Q1FY27,delayed,medium,NGEL COD disclosure,https://www.saurenergy.com/solar-energy-news/ntpc-completes-12-gw-khavda-ii-solar-project-with-final-105-mw-tranche-11882161,"270 MW COD 11 Mar 2026; final 105 MW COD 28 May 2026 - last phases landed just past FY26, part of the ~0.8 GW shortfall."
RENEW-FY25,ReNew Energy Global,FY25 utility build (solar + wind),solar,2.15,2024-06-05,FY24 results,Q4FY25,delayed,high,ReNew FY25 6-K,https://www.sec.gov/Archives/edgar/data/1848763/000095017025086534/rnw-ex99_1.htm,
RENEW-FY25,ReNew Energy Global,FY25 utility build (solar + wind),solar,2.15,2025-05-20,FY25 results,Q1FY26,delayed,high,ReNew FY25 6-K,https://www.sec.gov/Archives/edgar/data/1848763/000095017025086534/rnw-ex99_1.htm,"Guided 1.9-2.4 GW COD by end-FY25 but only 1.48 GW commissioned; ~600 MW evacuation-dependent slipped, ~466 MW COD'd just after year-end."
RENEW-FY26,ReNew Energy Global,FY26 utility build (solar + wind + BESS),solar,2.4,2026-03-31,FY26 results,Q4FY26,commissioned,high,ReNew FY26 6-K,https://www.sec.gov/Archives/edgar/data/1848763/000119312526155997/rnw-ex99_1.htm,"Commissioned ~2.4 GW (top end of the 1.8-2.4 GW guide raised at Q3 FY26); highest annual in company history, op base ~12.6 GW."
RENEW-FY27,ReNew Energy Global,FY27 utility build,solar,2,2026-03-31,FY26 results,Q4FY27,on-track,high,ReNew Q4 FY26 6-K,https://www.sec.gov/Archives/edgar/data/1848763/000119312526227847/rnw-ex99_1.htm,"Forward guide to complete 1.6-2.4 GW by FY27; same cadence as delivered FY26. Newly issued, no prior period to slip from."
SC-HYBRID450,Sembcorp Green Infra,450 MW wind-solar hybrid (SECI),hybrid,0.45,2025-11-08,Nov-2025 deck,Q3FY28,at-risk,medium,Sembcorp Nov-2025 deck,https://www.sembcorp.com/media/yrcplozn/sci-investor-presentation-nov-2025.pdf,"Largest greenfield hybrid, guided '2027-2028' (COD ~24 mo from PPA); sits inside the UC block whose horizon has slipped, ICRA warns pipeline scale heightens delay risk."
SC-NHPC300,Sembcorp Green Infra,300 MW solar (NHPC offtake),solar,0.3,2025-11-08,Nov-2025 deck,Q3FY27,on-track,high,Sembcorp Nov-2025 deck,https://www.sembcorp.com/media/yrcplozn/sci-investor-presentation-nov-2025.pdf,"Nearest-term named block, listed at '2026'; FY25 results describe a 300 MW India solar acquisition completing by end-1H2026. Year unchanged across decks."
SC-SOLAR-UC,Sembcorp Green Infra,India greenfield solar under construction (~1.93 GW),solar,1.93,2025-02-27,FY24 op-data,Q3FY28,on-track,high,Sembcorp FY25 operational data,https://www.sembcorp.com/media/fidmtsut/sci_fy2025_operational-data.pdf,
SC-SOLAR-UC,Sembcorp Green Infra,India greenfield solar under construction (~1.93 GW),solar,1.93,2026-02-25,FY25 op-data,Q4FY28,delayed,high,Sembcorp FY25 operational data,https://www.sembcorp.com/media/fidmtsut/sci_fy2025_operational-data.pdf,Completion tail pushed from <=2027 out to 2030: Dec-24 op-data had UC solar done by 2027; Dec-25 op-data shows 918 MW @2028 and 300 MW @2030. ICRA flags delay risk.
SER-3GW,Serentica Renewables,First 3 GW RTC portfolio (solar + wind),rtc,3,2025-05-20,CEO interview (May-25),Q3FY26,on-track,high,Serentica milestone PR,https://www.saurenergy.com/solar-energy-news/serentica-builds-3-gw-renewable-portfolio-in-26-months-eyes-next-3-gw-12126633,
SER-3GW,Serentica Renewables,First 3 GW RTC portfolio (solar + wind),rtc,3,2026-02-10,Feb-26 guidance,Q2FY27,delayed,high,Serentica milestone PR,https://www.saurenergy.com/solar-energy-news/serentica-builds-3-gw-renewable-portfolio-in-26-months-eyes-next-3-gw-12126633,"Ramp slipped ~2-3Q: May-25 guide of ~3.5 GW by CY2025 became 2.5 GW by Mar-26, and 3 GW only reached Jul-2026."
SER-NEXT3GW,Serentica Renewables,Next 3 GW (renewables + storage),hybrid,3,2026-02-10,Feb-26 guidance,Q4FY28,on-track,high,Serentica milestone PR,https://www.saurenergy.com/solar-energy-news/serentica-builds-3-gw-renewable-portfolio-in-26-months-eyes-next-3-gw-12126633,"3 GW RE+storage under construction, guided COD over 'next 12-15 months' (~H2 CY2027); Feb-26 '5 GW by FY27' now looks to slip into FY28."
TPREL-MSEDCL,Tata Power Renewable Energy,MSEDCL Phase-IV hybrid (501 MW),hybrid,0.5,2025-11-08,Q2 FY26 deck,Q4FY26,delayed,high,TPREL Q4 FY26 analyst deck,https://www.tatapower.com/content/dam/tatapoweraemsitesprogram/tatapower/pdf-root/company-financials/quarterly-results-presentation/2026/Analyst%20Presentation%20Q4%20FY26.pdf,
TPREL-MSEDCL,Tata Power Renewable Energy,MSEDCL Phase-IV hybrid (501 MW),hybrid,0.5,2026-02-10,Q3 FY26 deck,Q4FY27,delayed,high,TPREL Q4 FY26 analyst deck,https://www.tatapower.com/content/dam/tatapoweraemsitesprogram/tatapower/pdf-root/company-financials/quarterly-results-presentation/2026/Analyst%20Presentation%20Q4%20FY26.pdf,'Expected Commissioning' slipped a full year FY26->FY27 across the Nov-25 to Feb-26 decks; 400 MW PPA at Rs3.60/kWh.
TPREL-NTPC-FDRE,Tata Power Renewable Energy,NTPC FDRE (585 MW),fdre,0.585,2026-02-10,Q3 FY26 deck,Q4FY27,on-track,high,TPREL Q4 FY26 analyst deck,https://www.tatapower.com/content/dam/tatapoweraemsitesprogram/tatapower/pdf-root/company-financials/quarterly-results-presentation/2026/Analyst%20Presentation%20Q4%20FY26.pdf,
TPREL-NTPC-FDRE,Tata Power Renewable Energy,NTPC FDRE (585 MW),fdre,0.585,2026-03-31,Q4 FY26 deck,Q4FY28,delayed,high,TPREL Q4 FY26 analyst deck,https://www.tatapower.com/content/dam/tatapoweraemsitesprogram/tatapower/pdf-root/company-financials/quarterly-results-presentation/2026/Analyst%20Presentation%20Q4%20FY26.pdf,COD guidance pushed a full year FY27->FY28 in the May-26 deck; 200 MW firm PPA at Rs4.71/kWh.
TPREL-SJVN-FDRE,Tata Power Renewable Energy,"SJVN FDRE (1,317 MW)",fdre,1.317,2025-11-08,Q2 FY26 deck,Q4FY27,on-track,high,TPREL Q4 FY26 analyst deck,https://www.tatapower.com/content/dam/tatapoweraemsitesprogram/tatapower/pdf-root/company-financials/quarterly-results-presentation/2026/Analyst%20Presentation%20Q4%20FY26.pdf,
TPREL-SJVN-FDRE,Tata Power Renewable Energy,"SJVN FDRE (1,317 MW)",fdre,1.317,2026-02-10,Q3 FY26 deck,Q1FY28,delayed,high,TPREL Q4 FY26 analyst deck,https://www.tatapower.com/content/dam/tatapoweraemsitesprogram/tatapower/pdf-root/company-financials/quarterly-results-presentation/2026/Analyst%20Presentation%20Q4%20FY26.pdf,"Softened from flat 'FY27' full-COD to 'phase-wise from FY27', i.e. back-end tranches spill past FY27; largest block, 460 MW firm PPA."
TPREL-SJVN-RTC,Tata Power Renewable Energy,SJVN RTC hybrid (272 MW),rtc,0.272,2026-02-10,Q3 FY26 deck,Q4FY28,at-risk,medium,TPREL Q4 FY26 analyst deck,https://www.tatapower.com/content/dam/tatapoweraemsitesprogram/tatapower/pdf-root/company-financials/quarterly-results-presentation/2026/Analyst%20Presentation%20Q4%20FY26.pdf,"COD is '24 months post-PPA' but the 88 MW RTC PPA stayed UNSIGNED 15+ months after LoA, so the clock hasn't started - effectively stalled."
